topic_id,rank,similarity,universal-id,id,n_words,text
2,4,0.8781,5502599,1284097,96,"We have had children at this school for the last 12 years and it has been a great experience. My oldest daughter is now in high school and was ahead of the other students academically when she arrived. They have had a chance to participate in choir, forensics, various sports, and musicals plus benefited from small class sizes. The teachers have an impressive list of credentials, unlike many other Christian schools. They truly care for the children and go above and beyond to help them in any way they can. I would highly recommend this school."
2,5,0.8758,3101478,1390596,146,Great small school with a wonderful Christian based education. The principal is an excellent teacher. My child went here k through 8th and started public high school 1 to 2 years more advanced than her peers. My other children who were struggling in ops are now doing excellent and even in honors thanks to the individual attention they received at Mt. Calvary. The teachers are all professional and caring. The school has very good communication with parents and an active PTL that keeps parents in tune happenings at the school. The church members and pastor are very supportive and provide every student with tuition assistance. It is a family atmosphere and very welcoming to people of diverse backgrounds. There are sports opportunities and every child is involved in the school play. The students graduate with a great education and confidence in themselves and in their faith.
3,1,0.8922,3400222,960487,6,The teachers and staff are great.
3,2,0.888,3902293,1007489,10,the teachers and staff are great with students and parents
3,3,0.8799,405630,1730580,19,Great teachers! Very supportive environment. The staff here makes it a priority to ensure that students are experiencing success.
3,4,0.8787,5300869,5195439,12,Excellent staff and communication. Teachers and administrators truly care about the kids.
3,5,0.8775,2604012,1016274,23,"The teachers are amazing, very passionate about caring for the kids. They know every child and treat them like they are their own."
4,1,0.9257,5103396,2491219,34,We are very pleased with Early Years Montessori School. My both children attended this school and they both have blossomed. Director and the teachers are very caring.I love this school and recommend it highly.
4,2,0.9158,1100838,1589067,48,"This is a hidden gem of a school that simply gets better with each year. Between their pure approach to Montessori, their caring and intelligent guides, staff and families and the addition of language, music and other enrichment programs, I, and more importantly, my child love being here."
4,3,0.9082,2601692,3977132,27,"Montessori curriculum is amazing, teachers are highly qualified and very effective. My children love their teachers and classmates. Could not be happier to have found our ""home."""
4,4,0.9047,3600360,1354511,99,"We have a wonderful school! The staff is caring and puts their whole hearts into teaching. We teach the whole child, not just the standards. We integrate the arts into our teaching. The children play outside every day, even in the winter. This helps them refocus and learn more in the classroom. We are also a healthy school, which means we only serve healthy foods to our students. The Montessori materials allow students to learn at their own rate and to be successful. We really have a wonderful school and can't wait for my own daughter to come here."
4,5,0.903,608858,1350456,80,"Both of my daughters went to this school. My older daughter started here when she was almost 4. Within months she started reading and writing. The teachers are experienced, attentive, and loving. Not all Montessori schools are the same. My daughter is a living proof that this method and this school particularly, give results. I'm so happy I found this school and if I still live in the neighborhood, I would have kept my kids there for a long time."
5,1,0.8882,4203805,1068281,88,"Both my children attend St Nicholas St Mary School. They feel very safe and extremely comfortable in this environment. They have a great academic program and the teachers keep close and guiding eyes one their students. The principal is kind yet strict, old school like I like it! She is an exeptional leader and very hands-on. 35 years ago, I had a great Catholic School education in a nearby county and this school is the closest i've found to that faith filled, hard-working, mind molding academia. Truly outstanding!"
5,2,0.8772,626472,1459225,121,"St. Mary's is great school that has loving teaches & staff that truly care about the children. I love the fact that the classrooms sizes are small, about 12 kids or less so each child gets a lot of attention. The focus on education is big at this school & your child will definitely be ahead of the game. They also offer a great before & after school programs with very flexible hours. I also love that they teach religion since faith is important to us as a family, something a public school can never offer. The piece of mind I have knowing my son is in good hands at St. Mary's school is priceless & I highly recommend this school."
5,3,0.8754,1704800,1429990,93,"This school truly is dedicated to each individual child. The principal is fenamenal and cares for each and every child. The school is small but has great leadership and teaches values and morals which are also just as important as education. My child was pulled out of public school and put into St. Mary's, she improved tremendously at St. Mary's as she was falling behind in public school. I love how they get the kids involved in mass once a week. Love this school and everyone in it. It's like one big family"
5,4,0.8723,3903030,968091,148,"I am a parent of children at St. Christopher School and have been pleased with the academics, the faith-based teaching, the dedicated teachers and the many other wonderful families we have met over the years. It is a community that fosters a commitment to the success of our children both spirtually and academically. No school is perfect and there will always be circumstances that cause a family to make another choice that is best for their child and family but we have not had the negative experiences noted in another review on this site at all. St. Christopher has a very strong enrollment in a public school district that is very strong which speaks to its exemplary quality and the many happy parents and children there. I would strongly recomend this school and am pleased with the Catholic education and foundations for life that my children are receiving."
5,5,0.871,2502508,4690183,71,I couldn’t be happier with the school. I have 2 children at St. Mary’s currently and it is an excellent school. It is a warm and loving communities. The teachers are very engaged with the students and the principal is an effective leader who is always visible and part of the community. The students are kind and bright. I am happy to be a part of the community at St. Mary’s
6,1,0.9231,3603014,1142456,70,"This is my fourth year in this school, and currently have two children attending. Have found this school to be a great environment both educationally and emotionally for my children. Principal is doing a great job, many parents are involved with the PTA, there is a really strong sense of community. Like another reviewer said, cannot get everything right every time, but my personal experiences have always been extremely positive."
6,2,0.9087,5301482,1313410,65,"I have been very pleased with the school since the day before school started For my first son in kindergarten. The teachers I have been attentive, the principal is fantastic. The PTA is very involved and it's a pleasure sending my children to school there, For learning, friends, and the overall environment of learning and growing up. I have a kindergartner and a fourth grader."
6,3,0.9069,2400849,1201090,82,I have been very happy with the school. The PTA is very active and they have a lot of community involvement. The new principal is great with the kids and has lunch with them on a regular basis to stay involved. The teachers are outstanding. My child's teacher is Nationally Board Certified and is able to work with the children individually. The teacher to student ratio is also well managed. At one point there were only 12 students in my childs classroom.
6,4,0.9052,607717,1370640,45,"Our daughter has been at this school for the last four years, and has truly enjoyed the experience of this small, close-knit school. The teachers are amazing and the PTA involvement and support is fantastic. We are very lucky to be part of this family."
6,5,0.9035,603660,3598471,54,"We feel lucky to have such a wonderful school in our community. The teachers, parents and principal are wonderful. Our kids are so nice and we're happy to see the friendships that are developing. The teachers really care about the kids and their development. The PTA is fantastic and helps make this school great."
7,1,0.904,5300477,4008547,34,"This is a top-notch school. We were worried about middle school, but our son is having a terrific experience and we are so pleased with the teachers and the quality of learning they provide."
7,2,0.8944,1203461,5356540,55,"Great middle school experience for my son. He is excited to go to school everyday, he made friends quickly. The curriculum is great. I especially love the small class sizes and the caring environment. There is no bullying, no fighting, nothing like you see in most middle schools! Such a blessing to have this school!"
7,3,0.889,802545,1500564,125,"This is a great school. My child enrolled in the 2010-2011 school year and I could not be happier with his experieince. Teachers are caring and professional. The office staff is kind and thoughtful. The administation is all about doing the right thing for kids. The parents and community own this school like its their own. We were a bit scared of middle school when our child reached that age. To our delight, the middle school team has been great in helping the kids through a tough part of life. The let the middle school kids be themselves while still holding them to a high set of moral and academic standards. The elementary team is fantastic. Each teacher is avaialble and engaged in their work."
7,4,0.8853,4202454,1470267,41,"Our daughter attended this school. She left the school with the tools necessary to have her succeed in Middle school. The administration, teachers and parent community are very hands on. They have a great recipe for fun and academics coming together."
7,5,0.8838,1202292,1470565,38,"This is a great school that offers different extra curriculum activities. All the teachers I dealt with were always helpful. My son did great and received very a good education, what made an easy transition to middle school."
8,1,0.9012,601778,1215531,59,I have two children in the Spanish Language program at this school. One is in 2nd and the other is in Kinder. The teachers are awesome. The parents are completely involved and the teachers are undoubtably the creme of the crop. I am looking forward to the rest of our elementary years at this school. I love it here!
8,2,0.8922,603648,4843750,76,This school and it’s staff are an absolute blessing. Our kiddo was in the first year pilot dual immersion Spanish program and flourished beyond our expectations. The amount of Spanish she has retained boggles the mind. The principal at the school is extremely experienced in dual immersion programs and that is very helpful and encouraging for new parents coming in. This is a small school with big heart and a beautiful sense of community. Highly recommend!
8,3,0.8906,200130,1542365,51,I have had two children in this school for five years. They are both fluent and confident in their Spanish. They are both excelling in the English taught curriculum also. I feel welcomed by the principal and teachers. I am very happy we decided to enroll our children in this school.
8,4,0.888,3200637,974665,33,This school is amazing. I was worried about the Spanish component but my daughter has thrived in this environment. The teachers care so much about the kids and the kids love their school.
8,5,0.8808,5100115,1353866,38,"This school is great! My child has excelled there so far and is learning a second language. The Immersion of the Spanish language has been very positive for my child, and they have maintained a fun, interesting environment."
